mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-501.16315,69.700455,18.138342,16.917202,17.638283,11.947882,-16.352655,-13.803651,-19.368687,7.548609,-14.621003,-1.0211974,3.2151122,1
-538.5788,96.9329,32.878952,21.364779,9.752755,8.55625,-11.8153105,-9.279933,-19.844673,7.684477,-5.8067694,1.0134429,3.726751,1
-505.45267,109.09437,38.49827,11.693861,2.1840837,3.534271,-2.9155855,-4.2017217,-13.332584,-2.6364627,-7.0947776,-2.0893412,-8.224791,1
-496.42322,117.08372,26.159859,-3.7229915,4.5797796,12.304396,3.4065647,-14.412517,-13.878669,1.8621048,-12.877414,-1.4696685,-2.6606913,1
-526.70276,74.35561,12.454045,11.133221,15.6171055,11.760173,-9.182188,-10.12645,-12.906197,7.01252,-5.158691,4.561324,5.1488566,1
-510.88483,80.108185,31.197794,19.870283,15.955826,9.210899,-0.39701718,-5.5179334,-7.0733476,-2.7606761,-6.0653524,-1.9153484,-4.0829697,1
-511.90225,95.22381,29.610998,5.0372176,14.56961,13.194785,-0.8058824,-11.056838,-11.052533,1.994494,-7.574699,-2.306446,-1.1628317,1
-511.65027,80.43991,24.272583,15.205133,14.581033,11.125504,-10.057186,-9.648238,-13.682264,-1.5915436,-8.372587,-6.795394,-1.868334,1
-538.03955,70.96558,23.590874,23.12742,20.11356,13.747434,-5.5676665,-6.1099715,-15.842456,1.2745241,-4.800258,-3.1655903,0.021332322,1
-511.831,72.27276,26.929382,15.5254,19.66146,16.815863,-8.192567,-9.44859,-19.683678,1.5244331,-8.535704,-4.548565,1.6391919,1
-535.81744,62.05392,25.045546,24.042543,19.798906,15.835557,-7.248163,-10.307862,-18.12731,4.2256823,-6.956599,-0.88725114,1.3229012,1
-529.92224,81.66233,36.693447,21.796467,13.7748165,8.730157,3.2639418,-5.6080456,-12.188067,0.6387875,-7.4893713,-4.4345427,-6.6728773,1
-572.85187,56.542118,23.401217,23.304564,21.460533,17.863993,-3.2087977,-5.483575,-11.456817,5.1849494,-5.611524,2.5512834,4.344678,1
-502.30948,64.87481,21.572926,19.36647,23.53585,8.337826,-18.105257,-16.983873,-11.02771,2.2515101,-13.3450165,-1.9790449,5.125806,1
-538.1614,62.193504,17.883215,23.318602,21.362778,14.982215,-9.625865,-12.1684885,-14.547427,9.179945,-12.259233,0.39996332,6.8268313,1
-552.37756,76.53716,24.350624,23.408756,16.924503,9.830256,-3.8628721,-6.147294,-16.125484,8.988508,-9.287684,0.28186342,3.8613892,1
-515.9927,83.57086,31.28387,20.059744,19.280521,6.1271234,-0.4888211,-3.9428463,-10.009136,-0.6073572,-5.989022,-5.2765303,-4.314325,1
-521.57605,84.68207,19.178238,11.3119545,19.900526,15.712572,-3.299533,-13.87684,-8.927351,6.2931337,-4.251611,-0.7321337,0.3154672,1
-501.25208,106.70828,25.017668,6.7833285,10.469269,11.131888,-0.060408648,-7.760481,-15.149111,1.0643451,-6.783065,-2.8954327,-2.8672423,1
-518.34174,68.86175,26.652224,22.94848,17.775042,14.70832,-9.96312,-10.923825,-16.566526,-0.99874955,-11.20567,-3.9188833,-0.20193575,1
-517.7623,102.11686,35.141884,12.734231,7.401836,8.073518,-4.13705,-10.2095785,-14.879208,-0.85972935,-9.863889,-4.6587977,-3.500284,1
-523.90027,82.5212,34.00289,26.574808,16.783201,14.418327,-10.767685,-8.252639,-16.530033,-2.7331967,-12.930026,-3.4282382,-3.2038603,1
-527.276,90.23841,34.801594,10.083529,6.523699,20.383135,-5.663052,-13.667044,-20.747486,0.4976262,-8.743778,-2.6169653,-2.7515645,1
-546.8543,59.381413,25.625454,28.505955,18.629536,20.858032,-7.1722937,-8.257597,-19.573227,5.095975,-13.254041,2.0035393,1.3196124,1
-538.03,68.88505,31.290283,21.165611,16.548624,20.84421,-11.361918,-6.8049603,-17.372725,2.908332,-10.639288,-0.6128337,-1.2613391,1
-517.6004,76.52426,24.984398,16.514498,15.066718,16.41041,-9.184395,-7.6710157,-20.509716,4.474606,-8.997519,-0.48446718,2.2136643,1
-502.0311,100.53665,36.484818,11.692327,14.778584,10.605365,-0.56761914,-11.6899605,-15.015779,-3.6049268,-10.931184,-6.0679536,-9.423629,1
-528.219,83.285866,31.79459,14.452239,13.81305,21.061188,-9.847987,-12.955495,-19.644985,-0.379837,-9.317906,0.0822661,0.5084278,1
-526.45966,74.86072,34.734024,14.270106,12.943264,11.089127,-4.42359,-7.7107487,-14.976661,4.160494,-7.0831895,-2.068834,1.282141,1
-519.5281,94.06259,36.260098,14.00319,4.2962756,13.354877,-11.240704,-7.7780757,-21.41327,1.4954515,-12.935972,-1.8627819,-0.5272314,1
-519.8649,91.43043,31.333157,10.696667,8.807132,12.339944,-7.598211,-9.674817,-18.984936,1.2430182,-10.283935,-1.2306787,-0.03373684,1
-529.1175,87.71557,32.14287,21.689878,14.332315,19.688566,-0.41256726,-6.55966,-23.541853,-0.29687014,-16.333998,0.18624987,-0.3728157,1
-514.80914,89.63561,33.283813,8.906127,7.4264946,8.627731,1.0327047,-5.395875,-11.455352,3.353446,-3.6780257,0.46451223,0.50853604,1
-506.703,94.90961,28.835875,10.512205,7.9134808,9.618709,-0.18457137,-7.1395583,-13.187386,-3.1583583,-9.471089,-0.43678468,-3.344785,1
-523.72534,78.5345,27.238161,10.850475,11.125102,18.983604,-14.955917,-10.745009,-18.171247,6.5671687,-11.736399,1.3865879,-2.254598,1
-533.71906,75.45313,26.764128,20.72401,21.269642,12.998581,-13.282133,-9.325313,-16.843697,1.1468321,-9.495553,-3.1856308,0.7814063,1
-542.4102,76.3117,22.853329,13.044214,19.103668,17.926743,-8.959915,-6.668202,-13.353652,5.1417937,-4.889057,-1.2847257,0.26757026,1
-520.7761,88.65823,32.97185,5.7768908,15.891497,22.995659,-5.101996,-17.644339,-21.097143,0.8258794,-10.434002,-2.360615,-1.4441476,1
-524.2501,67.67923,28.651886,17.979094,13.442549,19.187883,-11.3042145,-8.639431,-20.716679,9.455772,-9.954557,-4.8116155,-1.7176197,1
-510.97333,88.17185,27.160797,9.597876,14.379703,11.999046,-8.400387,-14.488639,-10.064176,2.689882,-7.556836,-6.171182,-4.5929837,1
-541.216,84.9122,35.675243,16.298985,9.794553,14.335069,-4.6531434,-2.3586235,-20.208872,1.1051265,-7.079013,-2.8215828,-1.9704573,1
-518.9203,88.43519,32.047718,11.717527,4.93482,13.630116,-11.76959,-5.2234645,-18.915688,0.7457372,-11.001114,-1.4970912,-0.20622693,1
-526.6724,96.4624,44.941227,13.885323,10.668434,7.7535896,-1.6248423,-2.6060169,-13.070491,-2.0144134,-6.25225,-3.5574136,-6.3711586,1
-547.4523,85.588356,36.57223,19.12383,15.031686,19.200737,-8.183224,-10.268858,-16.192146,0.52612036,-16.323895,-0.86322737,-0.13440986,1
-521.4392,98.02593,37.55239,9.005054,16.4231,14.542876,-5.550243,-4.074157,-13.285696,-3.2190382,-9.739411,-4.578666,-5.0366545,1
-519.89087,89.95809,32.75306,12.532135,7.1103992,14.204605,-1.7304378,0.50027364,-16.682735,0.011675827,-9.361458,-0.5810919,-2.8275363,1
-516.6748,76.3616,30.13664,11.664566,10.506607,15.701356,-3.1952882,-3.6354525,-19.456547,3.0448442,-6.8548903,-1.7414016,-2.0532792,1
-510.46414,93.81692,31.912212,13.362026,22.394737,10.577738,-13.73146,-9.650892,-9.945215,0.45962209,-9.538137,-5.239949,0.17186575,1
-527.5164,82.480225,32.002243,21.177343,20.488026,11.824913,-7.091908,-5.065744,-18.15111,0.7292185,-9.519668,-6.9005666,-5.0042725,1
