mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta2_mfcc_1,delta2_mfcc_2,delta2_mfcc_3,delta2_mfcc_4,delta2_mfcc_5,delta2_mfcc_6,delta2_mfcc_7,delta2_mfcc_8,delta2_mfcc_9,delta2_mfcc_10,delta2_mfcc_11,delta2_mfcc_12,delta2_mfcc_13,label
-1.8526212,-0.9960037,-0.14173453,0.97860116,0.737575,1.0002061,0.21102342,1.1936772,0.5514683,0.6107151,0.41236216,0.60836786,0.47114608,-0.9096315,-0.17844638,-0.59360355,-0.7876424,0.19729424,-0.76771027,0.23954348,0.59794366,0.9240675,-0.329918,1.0700554,0.61892766,0.6836902,0.55062526,0.8902067,0.007003646,0.4465782,0.20311913,-0.26674646,0.60497457,-0.074081995,0.1396217,-0.21366034,-0.337428,-0.44633263,-0.013613083,1
-0.34940782,-1.1925683,-1.3489449,1.3672293,0.7392104,-1.1619639,-0.2711252,-0.772315,0.26796877,-0.21669567,1.1038862,-1.0543724,0.6356046,-0.52054733,0.7174464,-0.76479775,-0.5981718,0.9406038,-0.122268155,-1.7968022,-0.31229308,0.067566186,-0.6848076,0.2484489,-0.050541814,-0.66461545,-0.6677601,0.37843433,1.0406507,-0.16550657,0.623026,1.5850182,0.35051784,0.22756067,0.96334976,0.27078867,1.4074908,0.37075227,-0.6036252,1
-0.09583562,0.52529335,-0.6025471,0.060875896,-0.5722846,-0.51645714,-0.6089136,-0.23194346,-0.8627757,0.7240987,0.38966563,-0.3792605,0.005382382,-0.24085721,0.15566145,-1.1580082,-0.96604085,1.057674,-0.393132,-2.190682,-0.59660196,-0.32926336,-0.035184063,1.3178263,0.47121415,-0.585772,-1.1628512,1.3741,0.7126666,-1.2281651,-0.7163137,0.5622852,0.2115395,-0.7452769,0.2746963,0.07922335,-1.1077465,-0.67682785,1.2013042,1
-0.2441408,0.7892991,1.0181051,-0.28147516,-0.11274488,0.5604275,0.09906176,1.2593992,-0.37007424,-0.68429214,-0.00072108814,-0.17644681,0.9414189,-1.5741506,0.07524412,0.06657733,0.07157199,0.8320603,1.1381959,1.1167694,-0.5930551,-0.6015793,-0.46256953,-0.091565974,0.0052875336,-0.32474452,-0.2473717,-0.6784321,-2.4301538,-0.67707366,-0.60036534,-0.65275747,-0.2593233,0.21455163,0.13079418,0.79585904,-0.24585989,0.49724972,0.6131455,1
-0.14429626,1.2733994,1.4252754,0.47605598,-1.4334179,-0.49208724,-1.3054518,1.3218539,-0.6167216,0.6693086,-0.73104817,0.5730602,-0.020709287,-0.057505354,2.6873221,1.5245742,0.46889505,-1.6111135,-2.6437442,0.66928995,-0.35343283,-0.8832131,-0.038624488,1.0423808,-1.4099749,-0.78683144,-0.6408735,-0.3391096,-0.20669508,1.5132194,1.6269369,0.9220823,0.5177497,-0.7525794,0.2651467,-0.9306642,-0.6855719,-0.15056433,-1.6100712,1
1.0494958,1.3944043,1.0417024,-1.5631196,-0.57096744,-1.8090606,1.8773942,0.29568043,0.41143474,-0.75512445,0.1151953,-1.0028408,-1.3756427,0.6326335,0.33728036,-2.4936576,-1.870272,-0.21997327,0.7670871,0.024790173,-0.13349703,1.5454235,1.6218756,0.3593408,0.59087527,1.1790026,-0.33851996,-0.030968033,-1.494579,-0.62577844,-0.27698046,-0.446623,-1.3333262,0.83148324,1.7025384,-0.74255705,0.21707001,0.8857837,2.3926048,1
1.8094348,-0.6827939,0.08546301,-1.6166699,0.14618605,-0.66848105,0.15852253,0.08608435,0.20608549,-0.5273048,0.24539179,0.49842072,-0.19465001,-0.6428561,-0.04179748,0.4599162,-0.0064096325,-1.4159931,-1.7669772,0.67695856,1.4945426,1.4185053,0.13394791,-0.13346457,-0.13455275,0.5152123,-0.015612255,-0.3370835,-1.8785797,-1.0578343,0.72552353,0.45878705,-0.94829863,-0.97068965,0.36966988,1.1942179,0.55594987,1.8672425,0.7775634,1
1.9783752,1.0597966,1.9649466,-0.94570863,-2.1110356,-2.172768,0.82782173,1.2146301,1.1279445,-1.5629004,1.7040874,1.1214606,-2.4728487,0.6199424,-0.13046245,-0.41994837,0.17574848,-2.002879,-3.3343282,0.62126815,2.1594934,0.7895204,0.40039682,0.9027303,1.3814576,1.2434397,-0.29123324,-0.36294904,-0.34215435,-1.0580813,0.4113584,-0.812207,-1.3162851,0.56274414,-0.504025,0.8323305,-1.0460724,1.7927827,1.1962397,1
1.9329847,0.15957583,0.35222095,-2.8638802,0.15664554,-0.066187255,1.1132169,0.41451013,0.36108902,0.33502892,-0.2473096,1.1410683,0.6680424,0.019433048,-0.6605063,-0.8580293,-1.3541831,-0.76439846,1.0465275,1.373005,0.7441259,0.69622076,-0.059947774,0.4317197,0.78352404,-0.17972161,0.5689791,-0.405082,-0.15082516,-0.11641849,-0.12257249,-1.0708765,-1.4451807,0.95650357,-0.040718377,-1.0674354,-1.455552,0.74023545,0.30132622,1
2.7062523,0.09962997,-1.5609968,-1.7464671,-0.8371164,-0.35881662,0.7105255,-0.020408362,1.8203093,-1.0291355,2.028119,0.78548926,-2.2647765,-0.36958602,-0.04098785,-0.8528716,-1.9607687,0.26718286,-0.43540564,-2.9036558,0.38010854,1.4959345,-0.094888315,2.0021403,1.9265779,1.0719051,-1.1796292,-0.082880564,0.08057306,2.152071,1.8548768,-0.68546444,0.6170617,-2.2063246,-2.9256716,-0.33776602,-2.803221,-1.6084796,-0.48135078,1
